Id,Store,Clothing,Price,Image Link
1,ally,Black Faux Leather Jacket Long Sleeve,$65.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj3201a-148p_black_1.jpg?v=1774396702
2,ally,Black Bomber Jacket Faux Leather,$74.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256-715p_black_1_bfb12a4d-6cec-4317-bd4e-8fc439f798e1.jpg?v=1775786114
3,ally,Black Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_black_1.jpg?v=1774598580
4,ally,Black Zip Through Cardigan Soft Touch,$30.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5294x-134pb_black_1.jpg?v=1770970227
5,ally,White Knit Dress Off Shoulder,$49.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd3445-12wb_cream_1.jpg?v=1774598175
6,ally,White Cable Knit Top Long Sleeve Crew Neck,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142e_cream_1.jpg?v=1772417340
7,ally,White Cable Knit Top Long Sleeve Off Shoulder,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0074-502e_cream_1.jpg?v=1775714495
8,ally,White Off Shoulder Knit Jumper Cable Design,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0032-710e_cream_1.jpg?v=1775714485
9,ally,Grey Cable Knit Top Long Sleeve Off Shoulder,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0074-502e_grey_marle_1.png?v=1774598500
10,ally,Grey Zip Through Cardigan Soft Touch,$30.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5294x-134pb_grey_marle_1.jpg?v=1770970244
11,ally,Grey Knit Button Up Short Sleeve Shirt,$33.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0037-142eb_grey_marle_1.jpg?v=1773627321
12,ally,Grey Knit Skirt Elastic Waist Mini Ribbed,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/ss0642-40c_grey_marle_1.jpg?v=1774223795
13,ally,Grey Knit Top Off Shoulder Long Sleeve,$28.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0071-148e_charcoal_1.jpg?v=1774842973
14,ally,Grey Zip Through Cardigan Soft Touch,$30.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5294x-134pb_charcoal_1.jpg?v=1770783242
15,ally,Blue Stripe Striped Knit Jumper,$33.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0070a-142eb_stripe_1.jpg?v=1773109059
16,ally,Brown Bomber Jacket Faux Leather,$74.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256-715p_brown_1.jpg?v=1774490207
17,ally,Brown Knit Poncho Top Light Weight,$33.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0076-142eb_brown_1.png?v=1774403966
18,ally,Brown Active Jacket Long Sleeve,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5197x-712p_brown_1.jpg?v=1769487255
19,ally,Red Cable Knit Top Long Sleeve Crew Neck,$30.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142eb_burgundy_1.jpg?v=1774843123
20,ally,Red Faux Leather Jacket Long Sleeve,$65.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj3201a-148p_burgundy_1_a7d0702a-4ab8-4181-a261-02339d9fea2a.png?v=1774936512
21,ally,Red Bomber Jacket Faux Leather,$58.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256-715pb_burgundy_1.jpg?v=1772416910
22,ally,Black Stripe Stripe Quarter Zip Knit Fold Down Collar,$20.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0137h-148eb_stripe_1.jpg?v=1774843022
23,ally,Black Stripe Stripe Quarter Zip Knit Fold Down Collar,$24.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0137a-148e_stripe_1.jpg?v=1774223893
24,ally,Blue Knit Dress Long Sleeve Cable Mini,$46.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd6742a-40wb_sky_blue_1.jpg?v=1774338972
25,ally,Red Stripe Striped Knit Jumper,$43.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0070-142e_stripe_1.png?v=1774598423
26,ally,Red Stripe Stripe Quarter Zip Knit Fold Down Collar,$20.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0137e-148eb_stripe_1.jpg?v=1774843005
27,ally,Yellow Cable Knit Top Long Sleeve Crew Neck,$30.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142eb_butter_1.jpg?v=1774490223
28,ally,Yellow Knit Dress Midi,$56.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd3462-40w_butter_1.jpg?v=1773993404
29,ally,White Knit Poncho Top Light Weight,$33.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0076-142eb_white_1.png?v=1774410991
30,ally,Beige Bomber Jacket Suede,$74.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256a-715p_tan_1.jpg?v=1774403851
31,ally,Black Knit Poncho Top Light Weight,$43.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0076-142e_black_1.jpg?v=1774843062
32,ally,Black Active Jacket Long Sleeve,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5197x-712p_black_1.jpg?v=1769487274
33,ally,Pink Cable Knit Top Long Sleeve Crew Neck,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142e_soft_pink_1.jpg?v=1773122487
34,ally,Pink Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_soft_pink_1.jpg?v=1775714505
35,ally,Brown Cable Knit Top Long Sleeve Crew Neck,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142e_chocolate_1.jpg?v=1773122464
36,ally,Brown Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_chocolate_1.jpg?v=1775023111
37,ally,Blue Cable Knit Top Long Sleeve Crew Neck,$37.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142e_periwinkle_1.jpg?v=1774497404
