Id,Store,Clothing,Price,Image Link
1,nike,Women's Oversized Crew-Neck Sweatshirt,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/aed89a4c-7366-4d44-9635-d59c295daf16/W+NK+PHX+FLC+OS+CREW+GX1.png"
2,nike,Women's Over-Oversized Crew-Neck Sweatshirt,$95,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b1d98f13-9d39-4363-b6f6-4900bb09d0e9/W+NSW+PHNX+FLC+OOS+CREW.png
3,nike,Women's Oversized French Terry Crew-Neck Sweatshirt,$100,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/2507671e-516c-4f18-b7f0-447576f4529e/W+NSW+NK+CHILL+FT+CREW.png
4,nike,Women's Loose Full-Zip Cropped Hoodie,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ee32b00f-037a-4a59-9b31-83e829cbd830/W+NSW+PHNX+FLC+CROP+FZ+HDY.png"
5,nike,Women's Dri-FIT Oversized 1/2-Zip Top,$130,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/cfe3ba80-529a-477e-9617-9fee6b976418/W+NK+24.7+DF+HZ+TOP+SOFT+KNIT.png
6,nike,Women's Full-Zip Hoodie,$90,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/36a59850-2f06-4089-898a-9002024243eb/W+NSW+CLUB+FLC+FZ+HOODIE+STD.png"
7,nike,Women's Oversized Crew-Neck Sweatshirt,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/00f4bef0-a8b0-4fe3-b59d-ebb2289b5498/W+NK+PHX+FLC+OS+CREW+GX1.png"
8,nike,Women's Dri-FIT 1/4-Zip Top,$160,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/06264d28-cc2a-435d-9da7-d53419583c6b/W+NK+UNVRSA+DF+HZ+TOP+FLC.png"
9,nike,Women's Dri-FIT 1/4-Zip Top,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4668f5f7-1bf9-4b2d-8cd8-db6e71c54f3d/W+NK+UNVRSA+DF+HZ+TOP+FLC.png
10,nike,Pullover Hoodie,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0cc08282-0c99-4e7d-a714-c6541eab9204/U+ACG+TUFF+FLC+HOODIE+PO.png
11,nike,Women's Pullover Hoodie,$90,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5fb37796-d8ef-4263-a41e-b96f506e2eb6/W+NSW+CLUB+FLC+STD+PO+HDY.png"
12,nike,Women's Oversized Pullover Hoodie,$95,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/1a73faf3-9af0-44a8-912b-42ed37822e76/W+NSW+PHNX+FLC+OS+PO+HOODIE.png
13,nike,Women's Pullover Hoodie,$90,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2930cd92-5ce9-4351-a4fd-761441f51e80/W+NSW+CLUB+FLC+STD+PO+HDY.png"
14,nike,Women's Jacket,$160,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/9e24df4a-e7e5-4086-8082-348bd0332288/W+NSW+TECH+FLC+JKT+SSNL.png
15,nike,Women's Jacket,$160,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d3d2a3d7-f2b9-40a9-bd69-04fa333608fd/W+NSW+TECH+FLC+JKT+SSNL.png"
16,nike,Women's Pullover Hoodie,$90,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/33824861-dfcc-45ea-a3be-a3fc16721286/W+NSW+CLUB+FLC+STD+PO+HDY.png
17,nike,Women's Oversized Henley Hoodie,$110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6708b964-e614-44bf-b0c4-3c2a4ef70805/W+NSW+PHNX+FLC+HENLEY+HDY+TPE.png"
18,nike,Pullover Hoodie,$160,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9d6588ce-c4e7-41c3-b986-f240ad8d7ef7/U+ACG+TUFF+FLC+HOODIE+PO.png"
19,nike,Women's Oversized Pullover Hoodie,$95,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/f2704ffc-b723-4111-8d9f-0ae22dc53efa/W+NSW+PHNX+FLC+OS+PO+HOODIE.png
