Id,Store,Clothing,Price,Image Link
1,ally,Beige Knit Dress Off Shoulder,$62.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd3445-12wb_oatmeal_1.jpg?v=1775022912
2,ally,Red Bomber Jacket Faux Leather,$75.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256-715pb_burgundy_1.jpg?v=1772416910
3,ally,Brown Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_chocolate_1.jpg?v=1775023111
4,ally,Black Active Jacket Long Sleeve,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5197x-712p_black_1.jpg?v=1769487274
5,ally,Blue Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_blue_1.jpg?v=1775023103
6,ally,Grey Off Shoulder Knit Jumper Cable Design,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0032-710e_grey_1.jpg?v=1775023094
7,ally,White Faux Fur Jacket With Lapel Collar,$75.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj3430-145p_cream_1.png?v=1776239805
8,ally,Brown Active Jacket Long Sleeve,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5197x-712p_brown_1.jpg?v=1769487255
9,ally,Black Faux Leather Jacket Long Sleeve,$66.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj3201a-148p_black_1.png?v=1776153390
10,ally,Black Bomber Jacket Faux Leather,$75.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5256-715p_black_1_1045019e-dd3b-4914-80db-c61c491cbbf8.jpg?v=1776131733
11,ally,Black Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_black_1.jpg?v=1774598580
12,ally,Black Zip Through Cardigan Soft Touch,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5294x-134pb_black_1.jpg?v=1770970227
13,ally,Red Knit Dress Long Sleeve Cable Mini,$66.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd6742a-40wb_burgundy_1.jpg?v=1774339001
14,ally,Red Cable Knit Top Long Sleeve Crew Neck,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0058-142eb_burgundy_1.jpg?v=1774843123
15,ally,Red Off Shoulder Knit Jumper Cable Design,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0032-710eb_burgundy_1.jpg?v=1773122658
16,ally,Red Faux Leather Jacket Long Sleeve,$66.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj3201a-148p_burgundy_1_a7d0702a-4ab8-4181-a261-02339d9fea2a.png?v=1774936512
17,ally,White Knit Dress Off Shoulder,$62.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd3445-12wb_cream_1.jpg?v=1774598175
18,ally,White Cable Knit Top Long Sleeve Off Shoulder,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0074-502e_cream_1.jpg?v=1775714495
19,ally,White Basic Knit Long Sleeve Boat Neck,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn2205rn-142e_cream_1.jpg?v=1773627072
20,ally,White Knit Skort Skirt High Waisted Shorts Pleated,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/ss0604-40c_cream_1.png?v=1774410973
21,ally,Grey Cable Knit Top Long Sleeve Off Shoulder,$34.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0074-502e_grey_marle_1.png?v=1774598500
22,ally,Grey Zip Through Cardigan Soft Touch,$38.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/oj5294x-134pb_grey_marle_1.jpg?v=1770970244
23,ally,Grey Knit Dress Off Shoulder,$62.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/dd3445-12w_grey_marle_1.jpg?v=1776131714
24,ally,Grey Knit Button Up Short Sleeve Shirt,$43.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0037-142eb_grey_marle_1.jpg?v=1773627321
25,ally,Grey Knit Top Off Shoulder Long Sleeve,$28.00,https://cdn.shopify.com/s/files/1/0609/0997/7793/files/kn0071-148e_charcoal_1.jpg?v=1774842973
