Id,Store,Clothing,Price,Image Link
1,Muji,Andes Wool Pattern Sweater,$69.95,https://muji.com.au/cdn/shop/files/4547315344291_1260_720x.jpg?v=1775088795
2,Muji,Andes Wool Blended Vest,$59.95,https://muji.com.au/cdn/shop/files/4547315346257_1260_720x.jpg?v=1775087340
3,Muji,Washable Milano Ribbed Half-Zip Sweater,$59.95,https://muji.com.au/cdn/shop/files/4547315340309_1260_720x.jpg?v=1767855125
4,Muji,Washable Wool Mid Gauge Crewneck Sweater,$59.95,https://muji.com.au/cdn/shop/files/4547315341306_1260_720x.jpg?v=1772765759
5,Muji,Merino Wool Low-Gauge Short Cardigan,$149.95,https://muji.com.au/cdn/shop/files/4547315879465_01_1260_720x.jpg?v=1772677436
6,Muji,Washable Wool High-Gauge Crewneck Sweater,$49.95,https://muji.com.au/cdn/shop/files/4547315351091_1260_720x.jpg?v=1770784315
7,Muji,Washable Wool High-Gauge Crewneck Cardigan,$59.95,https://muji.com.au/cdn/shop/files/4547315337057_1260_720x.jpg?v=1770784578
8,Muji,Washable Wool High-Gauge Ribbed Turtleneck Sweater,$49.95,https://muji.com.au/cdn/shop/files/4547315338177_1260_720x.jpg?v=1772605696
9,Muji,Double Knitted Crewneck Sweatshirt,$39.95,https://muji.com.au/cdn/shop/files/4550584258145_1260_720x.jpg?v=1773614570
10,Muji,Cotton Velour Cardigan,$49.95,https://muji.com.au/cdn/shop/files/4550584977466_1260_720x.jpg?v=1771829329
11,Muji,Easy Recycled Fleece Cardigan,$49.95,https://muji.com.au/cdn/shop/files/PRODUCTIMAGE_9_720x.jpg?v=1775627656
12,Muji,French Terry Sweatshirt,$29.95,https://muji.com.au/cdn/shop/files/4547315425501_1260_720x.jpg?v=1763682896
13,Muji,French Terry Double Zip-Up Hoodie,$39.95,https://muji.com.au/cdn/shop/files/4547315429066_1260_720x.jpg?v=1765516383
14,Muji,Waffle Knit Half-Zip Pullover,$49.95,https://muji.com.au/cdn/shop/files/4547315773039_1260_720x.jpg?v=1767137953
15,Muji,French Terry Sweatshirt Cardigan,$39.95,https://muji.com.au/cdn/shop/files/4547315424863_1260_720x.jpg?v=1765428161
16,Muji,Cotton Knit Short Sleeve Cardigan,$59.95,https://muji.com.au/cdn/shop/files/4547315584185_01_1260_720x.jpg?v=1768349240
17,Muji,Washable Milano Ribbed Crewneck Sweater,$59.95,https://muji.com.au/cdn/shop/files/4547315347728_1260_720x.jpg?v=1770243532
18,Muji,Smooth Ribbed Crewneck Cardigan,$29.95,https://muji.com.au/cdn/shop/files/4547315775972_1260_720x.jpg?v=1764160014
19,Muji,Easy Recycled Fleece Pullover,$39.95,https://muji.com.au/cdn/shop/files/4547315854998_1260_720x.jpg?v=1772603613
20,Muji,Natural Colour Cashmere Crewneck Sweater,$199.95,https://muji.com.au/cdn/shop/files/4547315578092_01_1260_720x.jpg?v=1772575607
21,Muji,Lyocell Blend V-Neck Cardigan,$69.95,https://muji.com.au/cdn/shop/files/4547315348282_1260_720x.jpg?v=1767676779
22,Muji,Lyocell Blend Half Sleeve Sweater,$49.95,https://muji.com.au/cdn/shop/files/4547315343133_1260_720x.jpg?v=1768865779
23,Muji,Natural Colour Cashmere Cardigan,$249.95,https://muji.com.au/cdn/shop/files/4547315578382_01_1260_720x.jpg?v=1772673083
24,Muji,Lightweight Crewneck Short Sleeve Sweatshirt,$14.95,https://muji.com.au/cdn/shop/files/4547315427468_1260_720x.jpg?v=1764160610
